Homo_cov,Homo_len,Heter_cov,Heter_len,Asym_cov,Asym_len,Bimo_cov,Bimo_len,Bimo-fix_cov,Bimo-fix_len
1,7.418536412,1,16.02063693,1,8.578079319,1,19.06525131,1,13.69744097
1,5.79994665,1,13.20620071,1,9.684928264,1,9.043773057,0,3.97667641
1,4.855769288,1,10.3917645,1,7.194518139,1,12.95459384,1,5.744088148
1,7.315641835,1,12.98535127,1,9.12437118,1,16.64837884,0,4.638321757
1,6.318054312,1,12.73563298,1,9.475308533,1,13.87364903,1,4.033323267
1,6.98311266,1,10.98760492,0,8.422496474,1,23.58520336,1,3.226658614
1,6.484318899,1,13.98422445,1,9.12437118,1,23.12274839,1,3.02499245
1,6.484318899,1,15.23281591,1,8.773433827,1,16.64837884,1,4.436655594
1,6.989994173,1,10.65782358,1,47.09074044,1,20.05472092,1,12.23792639
1,7.135619052,1,13.02622881,1,8.045654146,1,21.09923764,1,13.76766719
1,6.553119537,1,13.61833012,1,6.862469713,1,22.77046438,1,3.441916798
1,7.135619052,1,10.36177292,1,8.518927919,1,10.44516715,1,4.971657597
1,6.407494659,1,11.54597554,1,7.099106599,1,21.09923764,0,9.560879995
1,6.381707079,1,11.24492275,1,9.183031196,1,42.56143792,1,38.60837091
0,5.470034639,0,10.7664154,1,8.64285289,1,10.26607548,1,15.52095313
1,6.229761672,1,12.20193745,0,8.372763738,1,17.1101258,1,5.432333595
1,5.925870859,1,11.00566907,1,11.34374442,1,15.61298979,1,5.044309767
1,6.685597892,1,15.07298155,1,10.26338781,1,14.11585378,1,3.686226368
1,6.424858143,1,9.969843074,1,7.763570661,0,14.29471642,1,5.293639597
1,6.589598096,1,13.61734664,1,8.074113488,1,12.76994667,1,3.529093065
1,6.754338048,1,12.64467902,1,17.70094111,1,11.43577314,1,4.509396694
1,5.930638286,1,13.13101283,0,6.210856529,1,23.63393115,1,4.509396694
1,6.754338048,1,13.37417973,1,9.005741967,1,10.10159961,1,4.70545742
1,5.512820491,1,13.45880727,1,7.667601552,1,19.25055489,1,12.18819937
1,5.810810788,1,14.43762962,1,8.306568348,1,13.34413464,1,6.562876586
1,6.704781679,1,13.45880727,1,6.070184562,1,16.18796661,1,15.75090381
1,6.406791382,1,13.94821844,0,7.348118154,1,19.90682381,0,7.687941143
1,5.959805937,1,11.99057375,1,8.945535144,1,13.12537833,1,3.187682913
1,5.563830402,0,18.36375591,1,7.186304073,0,16.64605974,0,7.709408954
1,6.358663316,1,13.89053332,1,8.683450755,1,13.06399625,1,3.047905865
1,5.881763567,1,14.36139885,1,8.084592082,1,9.06051353,0,15.95668365
1,5.881763567,1,15.53856269,1,6.886874737,1,8.217675062,1,4.840791669
1,6.835563065,1,15.30312992,1,7.785162746,1,15.80322127,1,3.944348767
1,8.107081507,1,12.73624541,1,5.952745853,0,9.556298813,1,3.882003646
1,6.1553767,1,13.7975992,1,8.772467573,1,12.44541241,1,15.72211477
1,6.305507839,0,12.52397465,1,7.51925792,1,11.77869389,1,3.882003646
1,6.455638978,1,14.22214071,1,12.53209653,1,17.77916058,1,6.599406199
1,6.755901256,1,13.16078693,1,7.51925792,1,12.00093339,1,8.928608387
1,6.681257406,1,12.40436129,1,8.875773258,1,12.45748375,1,3.686272892
1,7.560370223,1,12.70690669,0,7.100618606,1,11.40176479,1,4.239213826
1,5.80214459,1,11.1941797,1,58.87596261,1,13.30205892,1,3.686272892
1,7.208725096,1,13.31199749,1,7.988195932,1,13.09091513,1,3.686272892
1,8.43948304,1,14.52217908,1,7.692336823,1,42.01761469,1,36.67841528
1,7.351270154,1,10.70503443,1,7.890347576,1,21.7700965,1,11.69985091
1,6.891815769,1,13.13799679,1,8.767052862,1,22.84782405,1,12.41984174
1,8.117027462,1,15.08436669,1,7.01364229,1,21.33900548,1,4.679940365
1,6.432361385,1,12.16481185,1,9.059287957,1,19.83018691,1,5.219933484
1,6.126058462,1,12.16481185,1,8.182582671,0,11.20836651,1,5.039935778
1,7.399711936,1,13.79564276,1,8.66978566,1,24.13813931,1,8.071975038
1,7.701740995,0,13.02921816,1,9.598691266,1,21.60752793,1,10.18606374
1,7.097682878,1,15.07301709,1,8.360150458,1,17.32495483,1,11.91577268
1,8.003770054,1,13.79564276,1,10.21796167,1,17.51961724,1,5.18912681
1,8.607828171,1,18.64966521,1,17.33957132,1,17.90894207,0,4.996936928
1,7.198063112,0,10.74130098,1,6.776035598,1,13.98651649,1,4.296419704
1,32.55487635,1,46.46780205,1,10.84165696,1,12.41057097,1,3.043297291
1,6.380101395,0,9.807274804,1,9.147648057,1,12.60756416,1,3.938384729
1,6.543693738,1,13.77688603,1,8.131242717,1,9.258679933,1,3.043297291
1,6.543693738,1,13.07636641,0,11.18045874,1,10.04665269,1,7.339716995
1,7.442626049,1,14.2122434,1,9.055563305,1,22.62380968,1,11.49060561
1,6.822407212,1,17.01162468,1,8.085324379,1,14.00521552,1,7.158082186
1,6.977461921,1,14.2122434,1,9.702389255,1,15.08253979,1,7.34645277
1,8.062844887,1,16.79628766,1,9.37897628,1,10.342313,1,4.709264596
1,6.202188375,1,14.64291745,1,8.73215033,1,11.85056698,1,4.89763518
1,7.293858001,0,12.33541984,1,7.594423731,1,14.85445883,1,3.857695476
1,7.141902626,1,14.21254895,1,7.594423731,1,43.47113688,1,36.55625713
1,7.141902626,1,14.48071025,1,9.381346962,1,13.32532337,1,3.673995692
1,6.989947251,1,12.33541984,0,6.254231308,1,12.66997959,1,5.510993538
1,7.293858001,1,13.40806504,1,10.72153939,1,11.7961879,1,6.245792676
0,6.250644719,1,16.18435457,0,6.028568226,1,9.182115249,1,3.631208234
1,6.424273739,1,13.31293682,0,8.494800683,1,18.57776806,1,11.53442616
0,6.945160799,1,16.9674685,1,8.768826511,1,23.48913203,1,16.4472373
1,8.855080018,1,16.9674685,1,7.946749026,1,13.87994166,1,7.476016953
1,6.945160799,1,11.48567098,1,7.12467154,1,10.6768782,1,7.048815984
1,5.694331679,1,16.02120521,1,9.875917198,1,11.7963241,0,3.134962018
1,35.41162513,1,47.58537071,0,8.024182723,1,16.38378347,1,3.918702522
1,6.762018869,1,13.39085809,1,8.641427548,0,9.174918745,0,2.547156639
1,7.829706059,1,14.82559289,1,7.098315486,1,11.7963241,1,3.52683227
1,6.762018869,1,12.91261316,1,7.715560311,1,12.67012589,1,2.351221513
1,28.05540082,1,47.61123167,1,7.98832275,1,22.11100434,1,1.225606081
0,7.049095683,0,15.79065975,1,8.188030819,1,14.74066956,1,3.676818242
1,6.767131856,1,14.35514523,1,8.787155025,1,22.53216633,1,2.801385327
1,7.190077597,1,14.11589281,1,7.389198544,1,20.63693738,0,14.3570998
1,8.881860561,1,17.94393153,1,8.587446957,1,13.05602161,0,3.151558493
1,5.372010138,1,14.04695038,1,10.00078123,1,12.11254714,1,3.656763272
1,6.478012225,1,11.95485139,1,9.697727256,1,10.65904148,1,4.205277762
1,5.688010734,1,11.95485139,1,10.00078123,1,13.32380185,1,3.473925108
1,6.478012225,1,11.95485139,1,9.394673279,1,14.53505657,1,4.57095409
1,6.162011629,1,12.55259396,1,11.51605112,1,10.90129242,1,3.291086945
1,8.022565238,0,16.0820268,0,9.084416523,1,23.93156428,1,3.996667786
1,6.144943586,1,11.09886357,1,54.78178449,1,23.39975174,1,3.397167618
1,7.851872361,1,12.91092292,1,10.46084327,1,25.79290817,1,3.796834397
0,4.60870769,1,10.87235615,1,11.56198467,1,19.94297023,1,4.396334565
1,7.169100851,1,12.91092292,1,5.780992333,1,18.87934515,1,3.796834397
0,5.820982497,1,12.90060892,1,7.792714735,1,21.12449382,1,12.06887189
0,5.970238459,1,13.87423978,1,6.417529781,1,44.25025548,1,40.02842512
1,7.313542112,1,13.87423978,1,7.105122258,1,21.7915831,1,3.218365838
1,6.567262305,1,13.87423978,1,10.31388715,0,14.00887485,1,5.632140217
1,6.567262305,1,14.60446293,1,8.938702196,0,10.89579155,0,4.224105163
1,5.7590557,1,12.26480907,1,8.987346471,1,20.03233239,1,4.788081714
1,6.156231956,1,11.17460382,1,8.537979148,1,49.21523636,1,43.3103755
1,6.156231956,1,11.99225776,1,10.11076478,1,24.48396181,1,4.788081714
1,5.957643828,1,11.71970645,1,44.7120487,1,25.96783828,1,10.44672374
